field,back_field
FundCode,sstock_code
TAAccountID,sholder_ac_no
TransactionAccountID,
BusinessCode,
ContractType,sstatus0
SerialNo,sphone
Version,
SignType,
SecondStatus,smarket_code
ThirdStatus,smarket_code2
DistributorCode,
FundManagerCode,
CustodianCode,
InvestorName,
IndividualOrInstitution,
CertificateType,
CertificateNo,
TransactionDate,
TransactionTime,
AcceptMethod,
AcceptPlace,
NetNo,
Notes,
SecondNotes,snote2
ThirdNotes,saddr2
AlternationDate,
SecondDate,sdate2
ThirdDate,sdate3
SignRiskNotice,
RiskMatching,
ClientRiskRate,
CardNo,
TelNo,
MobileTelNo,
EmailAddress,
PostCode,
Address,
ReservedField1,
ReservedField2,
ReservedField3,
ReservedField4,
ReservedField5,
