ID,字段名,类型,长度
1, FundCode ,C ,6
2, TAAccountID ,C ,12
3, TransactionAccountID ,A ,17
4, BusinessCode ,A ,3
5, ContractType ,C ,1
6, SerialNo ,C ,26
7, Version ,C ,3
8, SignType ,C ,1
9, SecondStatus ,C ,1
10, ThirdStatus ,C ,1
11, DistributorCode ,C ,9
12, FundManagerCode ,C ,3
13, CustodianCode ,A ,3
14, InvestorName ,C ,120
15, IndividualOrInstitution ,A ,1
16, CertificateType ,C ,1
17, CertificateNo ,C ,30
18, TransactionDate ,A ,8
19, TransactionTime ,A ,6
20, AcceptMethod ,C ,1
21, AcceptPlace ,C ,40
22, NetNo ,C ,9
23, Notes ,C ,64
24, SecondNotes ,C ,64
25, ThirdNotes ,C ,64
26, AlternationDate ,A ,8
27, SecondDate ,C ,8
28, ThirdDate ,C ,8
29, SignRiskNotice ,C ,1
30, RiskMatching ,C ,1
31, ClientRiskRate ,C ,1
32, CardNo ,C ,32
33, TelNo ,C ,22
34, MobileTelNo  ,C ,24
35, EmailAddress ,C ,40
36, PostCode ,A ,6
37, Address ,C ,120
38, ReservedField1 ,C ,20
39, ReservedField2 ,C ,20
40, ReservedField3 ,C ,30
41, ReservedField4 ,N ,16(二位小数)
42, ReservedField5 ,N ,16(二位小数)
